input,output
"Style: Industrial, Modern & Contemporary | Material: MDF, Metal | Finish: Wood Finish | Assembly: Assembly Required | Color: Brown | Product Features: Includes Hardware, Storage | Dimensions: 39. 37 In. L X 11. 81 In. W X 31. 5 In. H | Warranty: 180 day Limited Distributor","Expertly crafted, this console table featuring a unique geometric metal base and rustic wood top oozes industrial chic. Seamlessly blending with a variety of decor styles, it offers a spacious tabletop for showcasing decor. Ideal for compact spaces due to its slim design, it can be ideally positioned in a hall, foyer, or behind a living room sofa. Let it display your cherished items, greenery, or family photos for a delightful personal touch in your space. "
"Style: Modern & Contemporary | Material: Wood | Finish: Matte, Oak Finish | Assembly: Assembly Required | Color: Black, Brown | Product Features: Includes Hardware, Solid Wood | Dimensions: 15. 4 In. W X 59. 5 In. H X 10. 6 In. D | Warranty: 30 day Limited Manufacturer","Decor your home with a stylish bookcase with lighting. Its allure will captivate, enticing the bookworm residing within you to select a book from the shelf. The included eye-friendly light is perfect for reading. Each time you enter the room, you'll relish the warm and tranquil moments of reading on the sofa. This unique contemporary design, with a free-standing bookcase that's durable, offers 4 tiers of storage for a plethora of books, while also adding a touch of style and appeal to your space. Constructed with black metal frame and premium P2 medium density fiberboard, it's water-resistant, durable, easy to clean, and features anti-falling devices to ensure stability and safety even when fully loaded with books. This multifunctional open bookcase not only displays clearly but is also user-friendly. The design with LED lights and remote control makes it versatile, serving as a bookcase, floor lamp, display stand, corner wall rack, standalone shelf unit, plant stand, and more, awaiting your exploration! "
"Style: Modern & Contemporary, Rustic | Material: MDF, Metal | Finish: Faux Marble, Wood Finish | Assembly: Assembly Required | Color: Black, Brown, White | Product Features: Shelf | Dimensions: 19. 75 In. L X 19. 75 In. W X 23. 5 In. H | Warranty: 180 day Limited Distributor","This modern and chic side table is an excellent addition to any living room or bedroom decor. It features a round faux marble veneer top and a sturdy gold metal frame that provides stability and support. Its compact size makes it perfect for small spaces and can serve as a coffee table, accent table, bedside table, or round nightstand. Its engineered wood construction ensures durability and easy maintenance. A stylish and functional piece of furniture that will elevate your home decor. "
"Style: Mid-Century Modern, Modern & Contemporary, Transitional | Material: Oak, Wood | Finish: Black Finish, Copper Finish | Assembly: Assembly Required | Color: Black, Grey | Product Features: Solid Wood | Dimensions: 17. 72 In. L X 78. 74 In. W X 33. 46 In. H | Warranty: 1 year Limited Manufacturer","Offer up a touch of sleek and modern look to your dining or bar area with this Armen Living Turin Solid Oak Sideboard, it is a perfect piece for your traditional and welcoming space. The dark shiny wood finish feels smooth to the touch, it is an exceptional piece that provides convenient storage space in an attractive design. The base feature x-shape metal copper frame with four straight tipped legs for sturdiness and durability. This spacious Sideboard feature 4 cabinets with soft close function. This Sideboard will make a simple storage solution to any well-appointed space in your home. Perfect as a sideboard, credenza, buffet cabinet or display stand and can also accommodates flat-screen TVs up to 60"" wide as a living room or lounge area TV stand. This item is a part of the Armen Living Turin collection but can be mixed and match in any contemporary or modern style home. "
"Style: Modern & Contemporary, Urban | Material: MDF | Finish: Matte, White Finish | Assembly: Assembly Required | Color: Pink, White | Product Features: Mirror Included, Touch Light | Dimensions: 15. 7 In. L X 31. 5 In. W X 55. 1 In. H | Warranty: 30 day Limited Manufacturer","Feel like a movie star before the best performance with this table. This spectacular vanity brings a clean and modern style to your bedroom. It gives an asymmetrical silhouette. From jewelry to documents, it will be safe and organized in the drawers. Included: Mirror Stool Features -ADEQUATE STORAGE CAPACITY: 5 drawers and 3 shelves on the desktop provide you with plenty of storage space. The large storage space allows you to put all your skincare products, cosmetics, jewelry, and other beauty supplies -CUSHIONED CHAIR: This padded stool is made of premium flame retardant sponge and fabric. Proper height and a soft cushioned seat will ease your fatigue and give you a more comfortable makeup experience. This stool can be placed completely under the table without taking up extra space -SUPERIOR MATERIAL AND STURDY STRUCTURE: The tabletop is made of environmentally-friendly MDF. The structure is firm and ensures the stability of the table and stool. The outer coating is made of environmentally friendly white paint, looks elegant and beautiful -IDEAL FOR ANY FEMALE: Most women like this beautiful, stylish dressing table. The vanity sets with mirror and bench will also be an ideal gift for your wife, daughter, mother or granddaughter on holidays and other special days -EASY TO ASSEMBLE: This vanity desk is easy to set up. All parts and instructions are included in package. It only takes a few dozen minutes to complete, and the time it takes will be different for different people -Three Color Light: Just touch the switch to control the color and switch of the light -DIMENSIONS: 31. 5""W x 15. 7""D x 55. 1""H Product Details Primary Material: Manufactured Wood Adult Assembly Required: Yes"
"Style: French, Traditional | Material: MDF | Finish: Matte | Assembly: Assembly Required | Color: Black, White | Product Features: Greenguard Certified | Dimensions: 47. 2 In. W X 31. 5 In. H X 15. 7 In. D | Warranty: 30 day Limited Manufacturer","This 6-drawer double dresser is just right for adding modern style and extra storage space to your bedroom or guest room. It's made from engineered wood with a neutral finish of your choice, and it's built on four curved legs for a touch of mid-century modern design. "
"Style: Glam, Modern & Contemporary | Material: MDF, Metal | Finish: Matte | Assembly: Assembly Required | Color: White | Product Features: Greenguard Certified | Dimensions: 47. 2 In. W X 74. 2 In. H X 20. 6 In. D | Warranty: 30 day Limited Manufacturer","Add storage space and elevate your room decor with the FUFU&GAGA Large Armoire Combo Wardrobes Closet Storage Cabinet in white. With a classic and minimalist design, this wardrobe suits a variety of spaces including bedrooms, fitting rooms, living rooms, offices, schools, and hospitals. Crafted from durable engineered particle board, it boasts a strong bearing capacity with a thick bottom base for reliable support. Featuring a top cabinet, 2 closed cabinets, and 4 bottom drawers, this wooden wardrobe is elegant and simple with a white board and golden handle accents. It seamlessly matches various house decors. "
"Style: Modern & Contemporary | Material: Wood | Finish: Painted | Assembly: Assembly Required | Color: Black, White | Product Features: Includes Hardware | Dimensions: 2362. 0 In. W X 7087. 0 In. H X 1535. 0 In. D | Warranty: 90 day Limited Manufacturer","The Madesa Pantry Storage Cabinet is a versatile and compact storage solution for any room. With 2 doors and 5 spacious shelves, this 23-inch wide unit offers ample space for organizing essentials in the bedroom, office, kitchen, laundry room, or garage. Its sleek finish adds a modern touch, making it a practical and stylish addition to any space. "
"Style: Art Deco, French | Material: MDF, Metal | Finish: Lacquer | Assembly: Assembly Required | Color: Black, Red, White | Product Features: Greenguard Certified, Includes Hardware | Dimensions: 63. 0 In. W X 31. 5 In. H X 15. 7 In. D | Warranty: 30 day Limited Manufacturer","Add a touch of coastal farmhouse style to your bedroom with the Timechee 63'' W Dresser White Chest Storage Cabinet. This dresser features a sleek white metal handle and a crisp white finish that exudes quality and style. Made from sturdy solid and engineered wood, the nine drawers in multiple sizes provide ample storage space for clothes, extra bedding, and other personal items. The metal glides ensure smooth operation, while the included tipover restraint device provides added safety. With its lacquer finish, this dresser is the perfect addition to any modern bedroom. "
"Style: Glam, Modern & Contemporary | Material: MDF | Finish: Mirrored Finish | Assembly: Assembly Required | Color: Clear, Silver | Product Features: Includes Hardware | Dimensions: 21. 75 In. L X 23. 5 In. W X 21. 75 In. H | Warranty: 1 year Limited Distributor","WARNING: Attention California residents: This product can expose you to chemicals including Cadmium, which is known to the State of California to cause cancer and birth defects or other reproductive harm. www. P65Warnings. ca. gov"
"Style: Mid-Century Modern, Modern & Contemporary | Material: Rubberwood, Veneer | Finish: Walnut Finish | Assembly: Assembly Required | Color: Brown | Product Features: Includes Hardware | Dimensions: 47. 0 In. W X 32. 5 In. H X 17. 5 In. D | Warranty: 1 year Limited Manufacturer","WARNING: Attention California residents: This product can expose you to chemicals including Formaldehyde (gas), which is known to the State of California to cause cancer. www. P65Warnings. ca. gov"
"Style: Modern & Contemporary, Traditional | Material: Fabric, Faux Leather, Wood | Finish: Black Finish, Natural Finish, Wood Finish | Assembly: Assembly Required | Color: Brown, White | Product Features: Footrest, Solid Wood, Swivel, Upholstered | Dimensions: 19. 69 In. W X 37. 2 In. H X 20. 28 In. D | Warranty: 60 day Limited Distributor","This armless counter stool features elegantly tapered flared legs paired with neutral upholstery, embodying a minimalist mid-century modern aesthetic that we adore. The generous, cushioned seat and gently sloped backrest provide a comfortable perch. To enhance functionality, we’ve incorporated a swivel seat into this beloved design, allowing for effortless movement. The seat and back are upholstered in premium fabric or faux leather, showcasing a textured appearance that adds to its charm. "
"Style: Mid-Century Modern | Material: Wood | Finish: Painted | Assembly: Assembly Required | Color: Beige, Black, Brown, Green, Natural, Taupe, White, Yellow | Product Features: Solid Wood | Dimensions: See Description | Warranty: 1 year Manufacturer","Bringing together contemporary craftsmanship with timeless style, our Mid-Century Entryway Bench gives a modern look to every bedroom, entryway, and covered outdoor space. Crafted with solid Pine and Birch wood, this versatile bench pairs beautifully with every décor and design. Clean, durable finishes in neutral or bold colors coordinate with your space. Its slatted design and tapered legs offer a refined elegance. A solid wood frame with strong metal-on-metal connections supports 275 lbs. Perfect for use as an extra seating surface or as a place to lay books, bags, plants or décor. This solid wood bench is ideal for mudrooms, entryways or at the end of the bed or table. Complete your space with this multifunctional statement piece. "
"Style: Mid-Century Modern, Modern & Contemporary | Material: Metal, Wood | Finish: Natural Finish, Wood Finish | Assembly: Assembly Required | Color: Natural | Product Features: Drawers, Includes Hardware, Shelf | Dimensions: 19. 8 In. W X 23. 7 In. H X 15. 7 In. D | Warranty: 1 year Limited Manufacturer","Add a mid-century modern touch to your space with the Anmytek nightstand. This nightstand features an open shelf and two drawers that provide ample space to store small decor, magazines, or books. The herringbone texture on the front door gives the bedside table a distinctive yet modern look, and its light oak with matte gold metal accents complements any room decor. Use it as a sofa side table or bedside table or nightstand to enhance your style. "
"Style: Farmhouse, Industrial, Rustic | Material: MDF, Metal | Finish: Powder Coated, Wood Finish | Assembly: Assembly Required | Color: Brown | Product Features: Includes Hardware, Shelves | Dimensions: 62. 99 In. W X 29. 53 In. H X 31. 5 In. D | Warranty: 1 year Limited Distributor","63 Inches Office Executive Desk, Home Office Desk Large Computer Writing Table with Storage, Wood Work Desk Small Conference Table"
"Style: Farmhouse, Transitional | Material: Fabric, Wood | Finish: Painted, Washed | Assembly: Assembly Required | Color: White | Product Features: Seating | Dimensions: 48. 0 In. L X 18. 0 In. W X 36. 0 In. H | Warranty: 1 year Limited Manufacturer","Upgrade your entertaining space with our versatile pub-height sofa table and two nested counter-height stools. Measuring 48""W x 36""H, this table provides a functional and stylish profile that's perfect for game nights or hosting guests. The sturdy stools, with their elegant gray linen upholstery and four stretcher bars, can be easily tucked underneath the table when not in use. This set is designed with compact spaces in mind, making it perfect for small kitchens, living rooms, or recreational areas. "
"Style: Industrial | Material: Metal, Wood | Finish: Wood Finish | Assembly: Assembly Required | Color: Black, Brown | Product Features: Shelves | Dimensions: 42. 1 In. W X 55. 1 In. H X 19. 7 In. D | Warranty: 180 day Distributor","Create a comfortable workspace at home with this vintage industrial style computer desk with hutch and shelves. Made of high-quality wooden boards and sturdy metal legs, this simple but functional desk provides stability and durability for heavy-duty work. The divided hutch on top and open shelf below the desk can be used for storage or as a bookshelf, making it a versatile addition to your home office or study room. "
"Style: Glam, Modern & Contemporary | Material: MDF, Wood | Finish: Espresso Finish, Goldtone Finish | Assembly: Assembly Required | Color: Brown, Gold, Grey, White | Product Features: Includes Hardware, Storage Area | Dimensions: See Description | Warranty: 90 day Limited Manufacturer","Available in your choice of finish, this campaign-style nightstand is sure to complement any transitional or contemporary design. The three spacious drawers offer ample storage for books, electronics, and more. "
"Style: Mid-Century Modern | Material: Rubberwood | Finish: Painted, Wood Finish | Assembly: Assembly Required | Color: Brown, White | Product Features: Drawers | Dimensions: 42. 0 In. W X 30. 0 In. H X 19. 0 In. D | Warranty: 180 day Limited Manufacturer","Provide a convenient place to work from home without taking up too much space on this charming mid-century modern writing desk. This sleek design is made of rubberwood with a rich warm-brown or white finish that will complement any room. The desk features angled legs for a chic, classic yet modern look and offers a single drawer to store away office supplies. "
"Style: Farmhouse, Rustic | Material: Glass, MDF | Finish: Wood Finish | Assembly: Assembly Required | Color: Red | Product Features: Drawers, Glass Doors | Dimensions: 52. 0 In. L X 52. 0 In. W X 35. 0 In. H | Warranty: 90 day Limited Manufacturer","Add a pop of color and style to your home with the Middlebrook Designs Rustic Glass-Door 52-inch Buffet in antique red. This versatile piece is perfect for entertaining guests or as a stylish TV console. With tempered glass doors, adjustable shelves, and ample storage space, this console is both functional and fashionable. "
"Style: Farmhouse, Traditional | Material: Mahogany | Finish: Weathered | Assembly: Assembly Required | Color: Brown, Grey | Product Features: Felt Lined Top Drawer, USB Port | Dimensions: See Description | Warranty: 1 year Limited Manufacturer","Give a bedroom an air of classic sophistication. With subtle detailing from top to bottom, this solid wood nightstand is a stylish choice. The black felt lined top drawer is perfect for storing valuables. Two cedar lined bottom drawers keep belongings well preserved and smelling fresh. With a USB charging port conveniently built in, this traditional nightstand is a modern bedside essential. "
"Style: Mid-Century Modern, Modern & Contemporary | Material: MDF | Finish: Glossy, Painted | Assembly: Assembly Required | Color: Black, Green, White | Product Features: Adjustable Shelving, Includes Hardware | Dimensions: 48. 82 In. W X 31. 5 In. H X 15. 67 In. D | Warranty: 90 day Distributor","This cabinet is exquisitely designed and suitable for various interior decoration styles. Made of high-quality materials, the structure is stable and durable. It has adjustable functions, allowing you to adjust shelf as needed to accommodate items of different sizes. The surface of the door panel is treated with high gloss paint, making it look smooth and bright, adding an elegant feeling. In addition, the storage cabinet is designed reasonably, allowing you to easily organize and manage your items, while maintaining a clean and orderly space. In short, this cabinet is a practical and aesthetically pleasing choice that can add elegance and practicality to your home environment. "
"Style: Modern & Contemporary | Material: MDF, Metal, Wood | Finish: Wood Finish | Assembly: Assembly Required | Color: Black, Gold, White | Product Features: Handmade, Storage | Dimensions: 70. 86 In. L X 31. 1 In. W X 30. 7 In. H | Warranty: 180 day Distributor","【Elegantly Designed and Spacious】- The stunning combination of white and gold creates a stylish color-blocked design that is sure to elevate any home decor. Measuring at 70. 8"" long and 31. 49"" wide, this dining table comfortably seats 6-8 people, making it perfect for shared meals and gatherings. "
"Style: Industrial, Modern & Contemporary, Vintage | Material: Particle Board | Finish: Matte | Assembly: Assembly Required | Color: Black, Brown, White | Product Features: Includes Hardware | Dimensions: 12. 6 In. L X 12. 6 In. W X 66. 9 In. H | Warranty: 90 day Distributor","【Multifunctional Corner Storage Shelf】: This narrow shelving unit fits great in any corner of living room, bedroom, home office, kitchen, hallway, balcony, bathroom etc. , works well as corer shelf, small bookshelf, display shelf, plant stand, flower rack for limited space"
"Style: Mid-Century Modern | Material: Wood | Finish: Walnut Finish | Assembly: Assembly Required | Color: Brown | Product Features: Charging Station, USB Port | Dimensions: 19. 7 In. W X 23. 6 In. H X 15. 0 In. D | Warranty: 90 day Limited Manufacturer","Introducing the Ted Nightstand, where modern convenience meets quality. Keep your devices fully charged with integrated UL-certified USB-A and USB-C ports, designed with your safety and well-being in mind. Crafted with 100% solid acacia wood and high-quality coated tabletop ensures well-construction, scratch- and heat-resistance to provide long-lasting use. The angled legs provide added stability and with the grooved drawer handle, boast a mid-century modern silhouette. Furthermore, an open niche and roomy drawer with quality runners complete this exceptional package. Enjoy a peaceful night's rest and charge your devices with ease; it's time to relax. "
"Style: Modern & Contemporary | Material: MDF | Finish: Weathered | Assembly: Assembly Required | Color: Black, Brown, Grey, White | Product Features: Adjustable Shelving, Includes Hardware | Dimensions: 47. 25 In. W X 26. 0 In. H X 15. 5 In. D | Warranty: 1 year Limited Manufacturer","Stream your favorite TV series in style with the Oxford Deluxe 2 Drawer TV Stand with Shelves for TVs up to 55 Inches to recreate your home design. With beautiful X-shaped side frames, this coastal or farmhouse style TV stand by Convenience Concepts easily becomes a conversation starter. Two drawers and three tiers of shelves give the perfect storage and display space combination. The drawers are adorned with metal pull handles and have smooth metal drawer slides. Store your video games and remote controls in the drawers, while you display favorite movie collections or decorative home decor on the shelves. This TV stand offers a total of four circular cable management holes to keep cables as organized as possible. Available in multiple finishes, this piece is engineered from sturdy manufactured wood and finished with a clean non-lead-based paint. Pair this transitional unit with other beautiful pieces from the Oxford Collection, by Convenience Concepts, each sold separately. "
"Style: Industrial, Rustic | Material: Steel, Veneer | Finish: Oak Finish | Assembly: Assembly Required | Color: Black, Brown, Grey | Product Features: Adjustable Height, Hidden Storage | Dimensions: See Description | Warranty: 1 year Limited Manufacturer","WARNING: Attention California residents: This product can expose you to chemicals including Nickel (Metallic), which is known to the State of California to cause cancer. www. P65Warnings. ca. gov"
"Style: Modern & Contemporary | Material: Metal, Wood | Finish: Oak Finish | Assembly: Assembly Required | Color: Grey | Product Features: Headboard Included, Hidden Storage | Dimensions: 80. 31 In. L X 60. 23 In. W X 41. 0 In. H | Warranty: 30 day Manufacturer","Farmhouse King/Queen Size Bed Frame with Headboard, Bookcase Storage Shelves, Sliding Barn Door, Charging Station, Rustic Wood Platform Bed, No Box Spring Needed, Oak"
"Style: Modern & Contemporary | Material: Laminate | Finish: Oak Finish, Wenge Finish | Assembly: Assembly Required | Color: Black, Grey, White | Product Features: Mirror Included | Dimensions: See Description | Warranty: 1 year Limited Manufacturer","The Ozark bathroom medicine cabinet is a sleek and modern solution for storing your toiletries. The double-door mirror cabinet opens up to reveal 3 interior shelves for ample storage, while the open shelf at the bottom provides additional space to keep your bathroom organized. This cabinet is made from treated engineered wood to protect it from water and humidity in the bathroom. Available in light oak and white. Product dimensions are 24. 6"" H x 23. 6"" W x 5. 5"" D. "
"Style: Modern & Contemporary, Transitional | Material: Metal, Veneer | Finish: Cappuccino Finish, Distressed, Wood Finish | Assembly: Assembly Required | Color: Brown, Grey | Product Features: Includes Hardware | Dimensions: See Description | Warranty: 1 year Limited Manufacturer","WARNING: Attention California residents: This product can expose you to chemicals including Wood dust, which is known to the State of California to cause cancer. www. P65Warnings. ca. gov"
"Style: Mid-Century Modern, Modern & Contemporary | Material: Faux Leather, Wood | Finish: Oak Finish, Walnut Finish, Wood Finish | Assembly: Assembly Required | Color: Beige, Black, Brown, Tan | Product Features: Footrest, Padded Seat, Upholstered | Dimensions: See Description | Warranty: 90 day Limited Manufacturer",Bring the beauty of sleek angled legs and natural wood finishes to your mid-century dream dining room with the Norwegian Danish Walnut Counter Height Stools by iNSPIRE Q® Modern. The curved chair backs' organic contours give you the perfect amount of retro style while the upholstered seat cushion provides comfort and relaxation. Available in beige fabric or black faux leather upholstery. 
"Style: Modern & Contemporary | Material: MDF, Metal | Finish: Metal Finish | Assembly: Assembly Required | Color: Beige, Black, Brown, Grey, Pink, White | Product Features: Includes Hardware | Dimensions: 23. 2 In. W X 45. 9 In. H X 11. 8 In. D | Warranty: 90 day Limited Manufacturer","Upgrade your storage space with the Pellebant fabric vertical dresser storage tower. This vertical design features 5 removable and foldable fabric drawers with wooden handles that make organization of clothes and linens a breeze. The sturdy metal frame and premium fabric drawers are combined into classic, simple decor. The wood top provides a hard surface to place lamps, accessories, home decor and more. "
"Style: Industrial, Mid-Century Modern, Modern & Contemporary | Material: Wood | Finish: Lacquer, Stained | Assembly: Assembled | Color: Black, Brown, White | Product Features: Solid Wood | Dimensions: 36. 0 In. L X 36. 0 In. W X 14. 0 In. H | Warranty: 1 year Limited Manufacturer","Upgrade your living room style, the Hillmount Drum Coffee Table will give an extra boost of urban design to any home. Featuring a beautiful wood grain surface, our coffee table can act as an outstanding centerpiece or can offer up a tray of snacks for your guests. The circular shape makes it ideal for sofa sets and seating arrangements of all types. "
"Style: Bohemian & Eclectic, Mid-Century Modern | Material: Acacia, MDF | Finish: Oak Finish | Assembly: Assembly Required | Color: Brown | Product Features: Includes Hardware | Dimensions: 56. 6 In. W X 32. 8 In. H X 17. 6 In. D | Warranty: 30 day Limited Manufacturer","WARNING: Attention California residents: This product can expose you to chemicals including Wood dust, which is known to the State of California to cause cancer. www. P65Warnings. ca. gov"
Style: Modern & Contemporary | Material: Aluminum | Finish: Mirrored Finish | Assembly: Assembled | Color: White | Product Features: Mirror Included | Dimensions: See Description | Warranty: 1 year Limited Manufacturer,"This medicine cabinet is both stylish and functional, with a copper-free silver mirror and elegant beveled pattern. The soft-closing hinge ensures a peaceful and quiet bathroom environment, while the adjustable shelves make it easy to organize your bath items, makeup, and medicines. With a door bumper to prevent collision and keep the mirror clear, this cabinet is a great addition to any bathroom. "
"Style: Mission & Craftsman, Traditional | Material: Wood | Finish: Antique | Assembly: Assembly Required | Color: Black, Green, Grey, Red, Tan, White | Product Features: Includes Hardware | Dimensions: See details | Warranty: 90 day Limited Manufacturer","WARNING: Attention California residents: This product can expose you to chemicals including Wood dust, which is known to the State of California to cause cancer. www. P65Warnings. ca. gov"
"Style: Mid-Century Modern, Modern & Contemporary | Material: Faux Leather, Wood | Finish: Black Finish, Wood Finish | Assembly: Assembly Required | Color: Black, Grey | Product Features: Footrest, Padded Seat, Upholstered | Dimensions: 19. 0 In. L X 16. 0 In. W X 38. 0 In. H | Warranty: 1 year Limited Manufacturer","Whether drawn up to a sleek kitchen island for a breakfast nook or rounding out your home bar with a perfect perch, a bar stool like this is a versatile seating solution with sleek modern style. The Armen Living Fox 28. 5"" Bar Height Gray Faux Leather and Black Wood Mid-Century Modern Bar Stool is a sophisticated and functional modern piece certain to enhance the aesthetic of any style home or apartment. The high-density foam cushioned back, and seat will allow endless hours of entertaining or lounging. The curved wood medium high back with padded support is ideal for posture alignment and an unmatched support for days on end. The foundation of the product is supported by wood and steel footrest for a chic and stylish aesthetic without comprising practicality and functionality of this item. The mid-century modern style silhouette gives you a timeless look with the durability to last for many years to come. Available in your choice of a 25. 5"" or 28. 5"" seat height, you can easily incorporate this stool into your kitchen, dining room, home bar, or office. The Fox Faux Leather and Wood Bar Stool is available in your choice of a black wood finish with black or gray faux leather upholstery or a walnut wood finish with cream, brown, or gray faux leather upholstery. "
